index,timestamp,username,comment,likes,replycount
124,2021-01-30T10:49:48Z,PrinceRemielAleks,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m22s"">0:22</a> That guy in the back XD",0,0
125,2021-01-26T18:08:28Z,Rey_OrNot,we started from here,0,0
126,2021-01-26T09:04:33Z,Stradz,Awesome,0,0
127,2021-01-25T13:55:38Z,Rahul Jadhav,I want heart from you Jordindian,1,0
128,2021-01-25T03:39:37Z,Binod Tharu,US with bottles india with gas cylinders,1,0
129,2021-01-24T16:36:35Z,JAYY GAMING,This video was exactly posted 4 years back or today,0,0
130,2021-01-24T10:40:49Z,Elan Chezhiyan,Dhanush movie bgm,0,0
131,2021-01-24T07:45:00Z,Jelly,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m28s"">0:28</a> Plot Twist: That calf was a paid actor too.",592,2
131(1),2021-11-10T09:12:31Z,Vihaan D,Lol,0,0
131(2),2021-07-27T05:32:12Z,gogi ,haha,2,0
132,2021-01-23T17:01:42Z,P A U L S O N,Vera maari,0,0
133,2021-01-19T12:28:27Z,yuna's HusSeY,This was their first video I ever from this channel <br>Never thought it would become my favorite channel on YouTube😤love these guys💜,0,0
134,2021-01-19T07:02:09Z,Mohammed Saad,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m27s"">0:27</a> bhai chappal chappal girgaya mera 😂😂",0,0
135,2021-01-19T07:00:48Z,ʘXʘN,No one :<br>Literally no one :<br>YouTube : let&#39;s recommend him 3 years old video,0,0
136,2021-01-13T13:41:35Z,Santhu Hari Santhu,Waiting for new video,0,0
137,2021-01-12T13:32:17Z,Soham Patil,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m26s"">0:26</a> at 0.5x 🤣🤣🤣",1,0
138,2021-01-11T09:59:06Z,Dash772,oh it just made me laugh so hard,0,0
139,2021-01-03T14:22:27Z,Ak-Dude,So  funny  ha ha,1,0
140,2021-01-02T14:01:10Z,Prasad M,Wait which place is it he is doing filp,1,0
141,2021-01-01T01:42:10Z,Uma Sunkara,LONGER VIDEOS,0,0
142,2020-12-31T12:01:13Z,TheGaming Sharieff,Claim your “here before a million views” ticket here,1,0
143,2020-12-26T16:29:53Z,RythGetsBitches,I bet this place is in Hyderabad,0,0
144,2020-12-24T12:30:54Z,Mûhammëd Riyaz,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,0
